N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
1,,,,,Vietnam,Đồng Nai,Biên Hòa (city),Hòa Bình (ward),,Pagode de Bưu Sơn,Pagode de Bưusơn,au dos d'une statue de Viṣṇu,,9,ch.,136/83/40,1343,,263; n. 2313,,,,"BEFEO IV, 687; Griffiths, Campa Volume","JA 1891 (1), 7, 84. — BEFEO I, 18 ; XV (2), 14. — P., 555.",,Damais,,
2,,,,,Cambodge,Kompong Siem,,,Dâmbâng Dèk,Perdue,Perdue,pierre tumulaire,,8,ch.,,moderne,,n. 307,208 (24),,,Aymonier 1881: 167. ,"A., I, 331. — L., I, 93.","La troisième inscription dans Weber 2014 a de façon erronnée été publié comme si'il s'agissat de C. 2, suite à une identification fautive de l'estampage n. 307.",,,
3,1,,,,Vietnam,Ninh Thuận,,,Phan Rang,BTLS Hanoi 21164,"Hanoi : B 2, 17",Linteau (ancien piédroit),B,5+6 partiemment préservés,ch.,38/203/54,Xe (?),,1 ; n. 145,382 (43),,,,"JA 1888 (1), 88 ; 1891 (1), 49. — BEFEO III, 635ix; XV (2), 10. — P., 804.","l'inv. de 1942 a complètement mal interprété l'organisation des trois textes gravés sur cet objet, omet de mentionner l'utilisation du sanskrit et date deux textes faussement en 1155 ś. Dans ces conditions, nous n'avons pas pu en préserver la structure.",,,
3,1,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21164,"Hanoi : B 2, 17",Linteau (ancien piédroit),A,6+2 partiellement préservées,ch. & sk.,38/203/54,Xe (?),,1  ; n. 145,382 (43),,,,"JA 1888 (1), 88 ; 1891 (1), 49. — BEFEO III, 635ix; XV (2), 10. — P., 804.","l'inv. de 1942 a complètement mal interprété l'organisation des trois textes gravés sur cet objet, omet de mentionner l'utilisation du sanskrit et date deux textes faussement en 1155 ś. Dans ces conditions, nous n'avons pas pu en préserver la structure.",,,
3,2,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21164,"Hanoi : B 2, 17",Linteau (ancien piédroit),,3,ch.,38/203/54,1155,,1 ; n. 145,382 (43),,,,"JA 1888 (1), 88 ; 1891 (1), 49. — BEFEO III, 635ix; XV (2), 10. — P., 804.","l'inv. de 1942 a complètement mal interprété l'organisation des trois textes gravés sur cet objet, omet de mentionner l'utilisation du sanskrit et date deux textes faussement en 1155 ś. Dans ces conditions, nous n'avons pas pu en préserver la structure.",,,
4,,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21166,"Hanoi : B 2, 15",Piédroit ruiné,B,20,ch.,142+/31/34,1148,,2 ; n. 143,383 (43),,,,"JA 1888 (1), 91 ; 1891 (1), 50. — BEFEO III, 634viii; XV (2), 9, 51. — P., 801.","a priori, nous ne voyons pas pourquoi Cœdès appelle le piédroit « ruiné ».",,,
4,,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21166,"Hanoi : B 2, 15",Piédroit ruiné,A,21,ch.,142+/31/34,1148,,2 ; n. 143,383 (43),,,,"JA 1888 (1), 91 ; 1891 (1), 50. — BEFEO III, 634viii; XV (2), 9, 51. — P., 801.","a priori, nous ne voyons pas pourquoi Cœdès appelle le piédroit « ruiné ».",,,
5,,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21168,"Hanoi : B 2, 16",Piédroit,,20,ch.,134+/33/31,,,3 ; n. 144,,,,"BEFEO III, 646.","BEFEO III, 634ix; XV (2), 10. — P., 802.",,,,
6,2,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21178,"Hanoi : B 2, 18",Linteau,,2,ch.,25/140+/48,1196,,4 ; n. 146,,,,"BEFEO III, 648.","BEFEO III, 635xii; XV (2), 10, 51. — P., 815.",,,,
6,1,,,,Vietnam,Ninh Thuận,,,Phanrang,BTLS Hanoi 21178,"Hanoi : B 2, 18",Linteau,,2,ch.,25/140+/48,1166,,4 ;  n. 146,,,,"BEFEO III, 648.","BEFEO III, 635xii; XV (2), 10, 51. — P., 815.",,,,
7,2,,,,Vietnam,Ninh Thuận,,,Lomṅơ,BTLS Hanoi 21167,"Hanoi : B 2, 14",Piédroit ruiné,,11,ch.,120+/34/44,XIIe,,5 ; n. 142,392 (44),,,,"JA 1888 (1), 92 ; 1891 (1), 52. — BEFEO III, 634x; XV (2), 9. — P., 803.",grosse inscription en caractères han-nom gravée sur une portion importante de l'originale en cam.,,,
7,1,,,,Vietnam,Ninh Thuận,,,Lomṅơ,BTLS Hanoi 21167,"Hanoi : B 2, 14",Piédroit ruiné,,4,ch.,120+/34/44,antérieure à la suivante,,5 ; n. 142,392 (44),,,,"JA 1888 (1), 92 ; 1891 (1), 52. — BEFEO III, 634x; XV (2), 9. — P., 803.",grosse inscription en caractères han-nom gravée sur  l'originale en cam.,,,
8,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit sud,A (centr.),invocation + 40,ch.,,XIIIe,,6; n. 1934-1935 ,385 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — P., 94.",chiffre 41 pour le nombre de ligne était incorrecte chez Cœdès; Golzio nomme cette inscription C. 11,,,
8,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit sud,C (int.),41,ch.,,XIIIe,,"6; n. 1938-1939, 1933",385 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — P., 94.",,,,
8,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit sud,B (ext.),42,ch.,,XIIIe,,6; n. 1936-1937,385 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — P., 94.",,,,
9,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit nord,B (ext.),41,ch.,,XIIIe,,"7; n. 1942, n. 1944",388 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — P., 94.",,,,
